2022-05-25 18:05:569 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-25 18:05:116 INFO  HomePage :45 - clicking On 'SIGNIN' link : [[ChromeDriver: chrome on WINDOWS (47dcdf48633c9d351261bf02fb41eba3)] -> xpath: //a[@title='Log in to your customer account']]
2022-05-25 18:05:291 INFO  SignInPage :47 - enter the 'EMAIL ADDRESS' field for 'CREATE ACCOUNT' : QEOshena@gmail.com to email address field
2022-05-25 18:05:747 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-25 19:05:935 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-25 19:05:562 INFO  HomePage :45 - clicking On 'SIGNIN' link : [[ChromeDriver: chrome on WINDOWS (ad19d9769d1490b9ee0bd64f1c0e1c01)] -> xpath: //a[@title='Log in to your customer account']]
2022-05-25 19:05:992 INFO  SignInPage :47 - enter the 'EMAIL ADDRESS' field for 'CREATE ACCOUNT' : kwvshena@gmail.com to email address field
2022-05-25 19:05:90 INFO  SignInPage :52 - clicking On 'CREATE ACCOUNT' button : [[ChromeDriver: chrome on WINDOWS (ad19d9769d1490b9ee0bd64f1c0e1c01)] -> xpath: //span[normalize-space()='Create an account']]
2022-05-25 19:05:138 INFO  CreateAccountPage :61 - enter the 'FIRST NAME' : johnen to first name field
2022-05-25 19:05:481 INFO  CreateAccountPage :65 - enter the 'LAST NAME' : sena to last name field
2022-05-25 19:05:547 INFO  CreateAccountPage :69 - enter the 'PASSWORD' : 1234567 to password field
2022-05-25 19:05:611 INFO  CreateAccountPage :74 - enter the 'ADDRESS' : johnen road to address field
2022-05-25 19:05:678 INFO  CreateAccountPage :78 - enter the 'CITY' : london to city field
2022-05-25 19:05:741 INFO  CreateAccountPage :83 - select 'STATE' from drop down : Hawaii
2022-05-25 19:05:87 INFO  CreateAccountPage :87 - enter the 'ZIP CODE' : 12345 to zipcode field
2022-05-25 19:05:161 INFO  CreateAccountPage :92 - select 'COUNTRY' from drop down : United States
2022-05-25 19:05:203 INFO  CreateAccountPage :96 - select 'MOBILE NUMBER' from drop down : 1234567890
2022-05-25 19:05:278 INFO  CreateAccountPage :100 - enter the 'ALIAS ADDRESS' : My address to zipcode field
2022-05-25 19:05:357 INFO  CreateAccountPage :104 - click on 'REGISTRATION' button : [[ChromeDriver: chrome on WINDOWS (ad19d9769d1490b9ee0bd64f1c0e1c01)] -> xpath: //span[normalize-space()='Register']]
2022-05-25 19:05:233 INFO  CreateAccountPage :109 - get the text of 'MY ACCOUNT' link : [[ChromeDriver: chrome on WINDOWS (ad19d9769d1490b9ee0bd64f1c0e1c01)] -> xpath: //h1[@class='page-heading']]
2022-05-25 19:05:920 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-25 19:05:543 INFO  HomePage :45 - clicking On 'SIGNIN' link : [[ChromeDriver: chrome on WINDOWS (ddba33e8aea2349b74a50bdbaa93840b)] -> xpath: //a[@title='Log in to your customer account']]
2022-05-25 19:05:712 INFO  SignInPage :47 - enter the 'EMAIL ADDRESS' field for 'CREATE ACCOUNT' : wlyjohn@gmail.com to email address field
2022-05-25 19:05:594 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-25 19:05:341 INFO  HomePage :45 - clicking On 'SIGNIN' link : [[ChromeDriver: chrome on WINDOWS (26c9b172bd0d235369647c311e0c79e0)] -> xpath: //a[@title='Log in to your customer account']]
2022-05-25 19:05:653 INFO  SignInPage :47 - enter the 'EMAIL ADDRESS' field for 'CREATE ACCOUNT' : wuMjohn@gmail.com to email address field
2022-05-25 19:05:746 INFO  SignInPage :52 - clicking On 'CREATE ACCOUNT' button : [[ChromeDriver: chrome on WINDOWS (26c9b172bd0d235369647c311e0c79e0)] -> xpath: //span[normalize-space()='Create an account']]
2022-05-25 19:05:801 INFO  CreateAccountPage :61 - enter the 'FIRST NAME' : johnen to first name field
2022-05-25 19:05:19 INFO  CreateAccountPage :65 - enter the 'LAST NAME' : sena to last name field
2022-05-25 19:05:90 INFO  CreateAccountPage :69 - enter the 'PASSWORD' : 1234567 to password field
2022-05-25 19:05:159 INFO  CreateAccountPage :74 - enter the 'ADDRESS' : johnen road to address field
2022-05-25 19:05:238 INFO  CreateAccountPage :78 - enter the 'CITY' : london to city field
2022-05-25 19:05:317 INFO  CreateAccountPage :83 - select 'STATE' from drop down : Hawaii
2022-05-25 19:05:592 INFO  CreateAccountPage :87 - enter the 'ZIP CODE' : 12345 to zipcode field
2022-05-25 19:05:668 INFO  CreateAccountPage :92 - select 'COUNTRY' from drop down : United States
2022-05-25 19:05:711 INFO  CreateAccountPage :96 - select 'MOBILE NUMBER' from drop down : 1234567890
2022-05-25 19:05:786 INFO  CreateAccountPage :100 - enter the 'ALIAS ADDRESS' : My address to zipcode field
2022-05-25 19:05:861 INFO  CreateAccountPage :104 - click on 'REGISTRATION' button : [[ChromeDriver: chrome on WINDOWS (26c9b172bd0d235369647c311e0c79e0)] -> xpath: //span[normalize-space()='Register']]
2022-05-25 19:05:673 INFO  CreateAccountPage :109 - get the text of 'MY ACCOUNT' link : [[ChromeDriver: chrome on WINDOWS (26c9b172bd0d235369647c311e0c79e0)] -> xpath: //h1[@class='page-heading']]
2022-05-25 19:05:96 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-25 19:05:621 INFO  HomePage :45 - clicking On 'SIGNIN' link : [[ChromeDriver: chrome on WINDOWS (94118b00b6c9a5acc2502016e1cf12b0)] -> xpath: //a[@title='Log in to your customer account']]
2022-05-25 19:05:494 INFO  SignInPage :57 - enter the 'EMAIL ADDRESS' for login :wuMjohn@gmail.com to email address field
2022-05-25 19:05:572 INFO  SignInPage :62 - enter the 'PASSWORD' for login :1234567 to password address field
2022-05-25 19:05:649 INFO  SignInPage :77 - clicking On 'SIGNIN' button : [[ChromeDriver: chrome on WINDOWS (94118b00b6c9a5acc2502016e1cf12b0)] -> xpath: //span[normalize-space()='Sign in']]
2022-05-25 19:05:93 INFO  ManageDriver :30 - Launching Chrome Browser
